variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"y_hat1[8,2]",0.356907812875,0.35616000000000003,0.025986039165246073,0.02605891889999995,0.3151388,0.40093850000000003,1.000330332709972,6395.010124815515,10062.94026406146
"y_hat1[9,2]",0.3348048778125,0.3338945,0.029553643495620795,0.02957564610000001,0.2869376,0.38434215,1.0003168462811645,5862.540116537926,9536.105097023685
"y_hat1[10,2]",0.320438955,0.31970750000000003,0.03276039042182475,0.032940406800000065,0.2668524,0.37498015,1.0003275895355832,5657.075854146451,9059.520004863245
"y_hat1[1,3]",0.2544117833125,0.2536035,0.03186139701037644,0.03171133139999999,0.20301425,0.30846245,1.0001614340819078,10839.272455431492,9343.403833473812
"y_hat1[2,3]",1.718142715625,1.71804,0.0858428725698431,0.08581288799999989,1.5780575000000001,1.8593819999999999,1.000288799471034,15765.798084664912,12842.281414756797
"y_hat1[3,3]",1.43293388125,1.4322650000000001,0.053000387215342205,0.05350703399999993,1.3467795,1.5204815,1.0002008809194267,12203.88404813315,12887.39715550131
"y_hat1[4,3]",1.0586796666875,1.05825,0.03449261412752083,0.034470449999999986,1.00279,1.11528,1.0000205896608176,14590.303839067741,12527.695186235267
"y_hat1[5,3]",0.79887531775,0.7990284999999999,0.02945295635653013,0.02953709850000001,0.7501838000000001,0.84692265,1.0003618260422484,12563.50400657156,12008.39289956241
"y_hat1[6,3]",0.6305333253125,0.6309115000000001,0.028315738681589292,0.028259838600000073,0.58333415,0.67669025,1.0003008398242645,9589.544570135673,11942.20924090581
"y_hat1[7,3]",0.522441493875,0.523164,0.02808754822959472,0.02796183599999998,0.47475970000000006,0.5669574000000001,1.0003899065610546,9300.926460875722,11517.441392687666
"y_hat1[8,3]",0.4529662609375,0.4538005,0.02971808977871862,0.029388838500000028,0.40289800000000003,0.5004157,1.000365842490221,10215.38705800061,11344.099771651005
"y_hat1[9,3]",0.4081762228125,0.4087405,0.03289107124030966,0.03228064980000002,0.35279235000000003,0.46161675,1.0005109117640165,11119.444328392497,11492.777141157783
"y_hat1[10,3]",0.3792012741875,0.3796035,0.036564683028534446,0.0360323691,0.3185107,0.43957405000000005,1.000477299618619,11723.941669473186,11216.279684376637
logLikelihood[1],-16.219911095,-15.90305,2.9798570506509843,2.961271110000001,-21.552384999999997,-11.937075000000002,1.0003540600197076,5590.719566815285,7507.26449732875
logLikelihood[2],-0.555408887616375,-0.37968199999999996,1.6003131804187423,1.5322418958000001,-3.4375665,1.7402505,1.0002149011568873,13410.340203726564,12476.538463870906
logLikelihood[3],3.064675070753875,3.291725,1.1680553231335886,1.0995777029999998,0.8545337000000001,4.508207499999999,0.999971111919105,7579.03411510403,11882.087106431483
logLikelihood[4],4.2334775675,4.29179,0.20988976554581096,0.15120296099999997,3.8293654999999998,4.440421999999999,0.9999885138954901,9988.668256481822,11773.50020669677
logLikelihood[5],3.6048285377475,3.73888,0.999967919580774,0.9687160139999998,1.757253,4.981249999999999,1.0002674846327286,15355.732248912673,11806.22615046215
logLikelihood[6],3.12684840625,3.155665,0.38390167094163835,0.38042033400000014,2.4391730000000003,3.7073315,1.000457755228637,7328.065448790314,10006.348303864232
logLikelihood[7],3.5276006210625,3.588895,0.6154438975410548,0.628785486,2.4062095,4.420703,1.0004214573523185,5695.010516907392,9397.387916439386
logLikelihood[8],3.4384229746875,3.5155950000000002,0.4889913337159223,0.4648766429999997,2.5325605,4.0833205,1.0001841324918215,9921.167080638823,11226.44123698553
logLikelihood[9],3.805091004375,3.820415,0.1926453340415178,0.19955796000000006,3.4669375,4.0891725,1.0003650435233737,5253.822163830348,8963.389384285563
logLikelihood[10],3.192144452247875,3.30694,0.984643691771724,0.9689828819999999,1.402007,4.542979000000001,1.000361944642481,4702.358841765836,8788.834346643709
